shipment_id,risk_category,recommended_action
SHP000145,Medium,Monitor shipment closely
SHP000146,Medium,Monitor shipment closely
SHP000147,Medium,Monitor shipment closely
SHP000148,Medium,Monitor shipment closely
SHP000149,Medium,Monitor shipment closely
SHP000150,Medium,Monitor shipment closely
SHP000151,Medium,Monitor shipment closely
SHP000152,Medium,Monitor shipment closely
SHP000153,Medium,Monitor shipment closely
SHP000154,Medium,Monitor shipment closely
SHP000156,Medium,Monitor shipment closely
SHP000157,Medium,Monitor shipment closely
SHP000158,Medium,Monitor shipment closely
SHP000159,Medium,Monitor shipment closely
SHP000160,Medium,Monitor shipment closely
SHP000161,Medium,Monitor shipment closely
SHP000162,Medium,Monitor shipment closely
SHP000163,Medium,Monitor shipment closely
SHP000164,Medium,Monitor shipment closely
SHP000165,Medium,Monitor shipment closely
SHP000166,Medium,Monitor shipment closely
SHP000167,Medium,Monitor shipment closely
SHP000168,Medium,Monitor shipment closely
SHP000169,Medium,Monitor shipment closely
SHP000170,Medium,Monitor shipment closely
SHP000171,Medium,Monitor shipment closely
SHP000172,Medium,Monitor shipment closely
SHP000173,Medium,Monitor shipment closely
SHP000174,Medium,Monitor shipment closely
SHP000175,Medium,Monitor shipment closely
SHP000176,Medium,Monitor shipment closely
SHP000177,Medium,Monitor shipment closely
SHP000178,Medium,Monitor shipment closely
SHP000179,Medium,Monitor shipment closely
SHP000180,Medium,Monitor shipment closely
SHP000181,Medium,Monitor shipment closely
SHP000182,Medium,Monitor shipment closely
SHP000183,Medium,Monitor shipment closely
SHP000184,Medium,Monitor shipment closely
SHP000185,Medium,Monitor shipment closely
SHP000187,Medium,Monitor shipment closely
SHP000188,Medium,Monitor shipment closely
SHP000189,Medium,Monitor shipment closely
SHP000190,Medium,Monitor shipment closely
SHP000191,Medium,Monitor shipment closely
SHP000192,Medium,Monitor shipment closely
SHP000193,Medium,Monitor shipment closely
SHP000194,Medium,Monitor shipment closely
SHP000195,Medium,Monitor shipment closely
SHP000196,Medium,Monitor shipment closely
SHP000197,Medium,Monitor shipment closely
SHP000198,Medium,Monitor shipment closely
SHP000199,Medium,Monitor shipment closely
SHP000200,Medium,Monitor shipment closely
SHP000201,Medium,Monitor shipment closely
SHP000202,Medium,Monitor shipment closely
SHP000203,Medium,Monitor shipment closely
SHP000204,Medium,Monitor shipment closely
SHP000205,Medium,Monitor shipment closely
SHP000206,Medium,Monitor shipment closely
SHP000207,Medium,Monitor shipment closely
SHP000208,Medium,Monitor shipment closely
SHP000209,Medium,Monitor shipment closely
SHP000210,Medium,Monitor shipment closely
SHP000211,Medium,Monitor shipment closely
SHP000212,Medium,Monitor shipment closely
SHP000213,Medium,Monitor shipment closely
SHP000215,Medium,Monitor shipment closely
SHP000216,Medium,Monitor shipment closely
SHP000217,Medium,Monitor shipment closely
SHP000218,Medium,Monitor shipment closely
SHP000219,Medium,Monitor shipment closely
SHP000220,Medium,Monitor shipment closely
SHP000221,Medium,Monitor shipment closely
SHP000222,Medium,Monitor shipment closely
SHP000223,Medium,Monitor shipment closely
SHP000224,Medium,Monitor shipment closely
SHP000225,Medium,Monitor shipment closely
SHP000226,Medium,Monitor shipment closely
SHP000227,Medium,Monitor shipment closely
SHP000228,Medium,Monitor shipment closely
SHP000229,Medium,Monitor shipment closely
SHP000230,Medium,Monitor shipment closely
SHP000233,Medium,Monitor shipment closely
SHP000234,Medium,Monitor shipment closely
SHP000235,Medium,Monitor shipment closely
SHP000236,Medium,Monitor shipment closely
SHP000237,Medium,Monitor shipment closely
SHP000238,Medium,Monitor shipment closely
SHP000240,Medium,Monitor shipment closely
SHP000241,Medium,Monitor shipment closely
SHP000242,Medium,Monitor shipment closely
SHP000243,Medium,Monitor shipment closely
SHP000244,Medium,Monitor shipment closely
SHP000245,Medium,Monitor shipment closely
SHP000246,Medium,Monitor shipment closely
SHP000247,Medium,Monitor shipment closely
SHP000248,Medium,Monitor shipment closely
SHP000249,Medium,Monitor shipment closely
SHP000250,Medium,Monitor shipment closely
SHP000251,Medium,Monitor shipment closely
SHP000252,Medium,Monitor shipment closely
SHP000253,Medium,Monitor shipment closely
SHP000254,Medium,Monitor shipment closely
SHP000255,Medium,Monitor shipment closely
SHP000256,Medium,Monitor shipment closely
SHP000258,Medium,Monitor shipment closely
SHP000259,Medium,Monitor shipment closely
SHP000260,Medium,Monitor shipment closely
SHP000261,Medium,Monitor shipment closely
SHP000262,Medium,Monitor shipment closely
SHP000263,Medium,Monitor shipment closely
SHP000264,Medium,Monitor shipment closely
SHP000265,Medium,Monitor shipment closely
SHP000266,Medium,Monitor shipment closely
SHP000267,Medium,Monitor shipment closely
SHP000268,Medium,Monitor shipment closely
SHP000269,Medium,Monitor shipment closely
SHP000270,Medium,Monitor shipment closely
SHP000271,Medium,Monitor shipment closely
SHP000272,Medium,Monitor shipment closely
SHP000273,Medium,Monitor shipment closely
SHP000274,Medium,Monitor shipment closely
SHP000275,Medium,Monitor shipment closely
SHP000276,Medium,Monitor shipment closely
SHP000277,Medium,Monitor shipment closely
SHP000278,Medium,Monitor shipment closely
SHP000279,Medium,Monitor shipment closely
SHP000280,Medium,Monitor shipment closely
SHP000281,Medium,Monitor shipment closely
SHP000282,Medium,Monitor shipment closely
SHP000283,Medium,Monitor shipment closely
SHP000284,Medium,Monitor shipment closely
SHP000285,Medium,Monitor shipment closely
SHP000286,Medium,Monitor shipment closely
SHP000287,Medium,Monitor shipment closely
SHP000288,Medium,Monitor shipment closely
SHP000289,Medium,Monitor shipment closely
SHP000290,Medium,Monitor shipment closely
SHP000291,Medium,Monitor shipment closely
SHP000292,Medium,Monitor shipment closely
SHP000293,Medium,Monitor shipment closely
SHP000294,Medium,Monitor shipment closely
SHP000295,Medium,Monitor shipment closely
SHP000296,Medium,Monitor shipment closely
SHP000297,Medium,Monitor shipment closely
SHP000298,Medium,Monitor shipment closely
SHP000299,Medium,Monitor shipment closely
SHP000300,Medium,Monitor shipment closely
SHP000301,Medium,Monitor shipment closely
SHP000302,Medium,Monitor shipment closely
SHP000303,Medium,Monitor shipment closely
SHP000304,Medium,Monitor shipment closely
SHP000305,Medium,Monitor shipment closely
SHP000306,Medium,Monitor shipment closely
SHP000307,Medium,Monitor shipment closely
SHP000308,Medium,Monitor shipment closely
SHP000309,Medium,Monitor shipment closely
SHP000310,Medium,Monitor shipment closely
SHP000311,Medium,Monitor shipment closely
SHP000312,Medium,Monitor shipment closely
SHP000313,Medium,Monitor shipment closely
SHP000314,Medium,Monitor shipment closely
SHP000315,Medium,Monitor shipment closely
SHP000316,Medium,Monitor shipment closely
SHP000317,Medium,Monitor shipment closely
SHP000318,Medium,Monitor shipment closely
SHP000319,Medium,Monitor shipment closely
SHP000320,Medium,Monitor shipment closely
SHP000321,Medium,Monitor shipment closely
SHP000322,Medium,Monitor shipment closely
SHP000323,Medium,Monitor shipment closely
SHP000324,Medium,Monitor shipment closely
SHP000325,Medium,Monitor shipment closely
SHP000326,Medium,Monitor shipment closely
SHP000327,Medium,Monitor shipment closely
SHP000328,Medium,Monitor shipment closely
SHP000329,Medium,Monitor shipment closely
SHP000330,Medium,Monitor shipment closely
SHP000331,Medium,Monitor shipment closely
SHP000332,Medium,Monitor shipment closely
SHP000333,Medium,Monitor shipment closely
SHP000334,Medium,Monitor shipment closely
SHP000335,Medium,Monitor shipment closely
SHP000336,Medium,Monitor shipment closely
SHP000338,Medium,Monitor shipment closely
SHP000339,Medium,Monitor shipment closely
SHP000340,Medium,Monitor shipment closely
SHP000341,Medium,Monitor shipment closely
SHP000342,Medium,Monitor shipment closely
SHP000343,Medium,Monitor shipment closely
SHP000344,Medium,Monitor shipment closely
SHP000345,Medium,Monitor shipment closely
SHP000346,Medium,Monitor shipment closely
SHP000347,Medium,Monitor shipment closely
SHP000348,Medium,Monitor shipment closely
SHP000349,Medium,Monitor shipment closely
SHP000350,Medium,Monitor shipment closely
SHP000351,Medium,Monitor shipment closely
SHP000352,Medium,Monitor shipment closely
SHP000353,Medium,Monitor shipment closely
SHP000354,Medium,Monitor shipment closely
SHP000355,Medium,Monitor shipment closely
SHP000356,Medium,Monitor shipment closely
SHP000357,Medium,Monitor shipment closely
SHP000358,Medium,Monitor shipment closely
SHP000359,Medium,Monitor shipment closely
SHP000360,Medium,Monitor shipment closely
SHP000361,Medium,Monitor shipment closely
SHP000362,Medium,Monitor shipment closely
SHP000363,Medium,Monitor shipment closely
SHP000364,Medium,Monitor shipment closely
SHP000365,Medium,Monitor shipment closely
SHP000366,Medium,Monitor shipment closely
SHP000367,Medium,Monitor shipment closely
SHP000368,Medium,Monitor shipment closely
SHP000369,Medium,Monitor shipment closely
SHP000370,Medium,Monitor shipment closely
SHP000371,Medium,Monitor shipment closely
SHP000372,Medium,Monitor shipment closely
SHP000373,Medium,Monitor shipment closely
SHP000374,Medium,Monitor shipment closely
SHP000375,Medium,Monitor shipment closely
SHP000376,Medium,Monitor shipment closely
SHP000377,Medium,Monitor shipment closely
SHP000378,Medium,Monitor shipment closely
SHP000379,Medium,Monitor shipment closely
SHP000380,Medium,Monitor shipment closely
SHP000381,Medium,Monitor shipment closely
SHP000382,Medium,Monitor shipment closely
SHP000383,Medium,Monitor shipment closely
SHP000384,Medium,Monitor shipment closely
SHP000385,Medium,Monitor shipment closely
SHP000386,Medium,Monitor shipment closely
SHP000387,Medium,Monitor shipment closely
SHP000388,Medium,Monitor shipment closely
SHP000389,Medium,Monitor shipment closely
SHP000390,Medium,Monitor shipment closely
SHP000391,Medium,Monitor shipment closely
SHP000392,Medium,Monitor shipment closely
SHP000393,Medium,Monitor shipment closely
SHP000394,Medium,Monitor shipment closely
SHP000395,Medium,Monitor shipment closely
SHP000396,Medium,Monitor shipment closely
SHP000397,Medium,Monitor shipment closely
SHP000398,Medium,Monitor shipment closely
SHP000399,Medium,Monitor shipment closely
SHP000400,Medium,Monitor shipment closely
SHP000401,Medium,Monitor shipment closely
SHP000402,Medium,Monitor shipment closely
SHP000403,Medium,Monitor shipment closely
SHP000404,Medium,Monitor shipment closely
SHP000405,Medium,Monitor shipment closely
SHP000406,Medium,Monitor shipment closely
SHP000407,Medium,Monitor shipment closely
SHP000408,Medium,Monitor shipment closely
SHP000409,Medium,Monitor shipment closely
SHP000410,Medium,Monitor shipment closely
SHP000411,Medium,Monitor shipment closely
SHP000412,Medium,Monitor shipment closely
SHP000413,Medium,Monitor shipment closely
SHP000414,Medium,Monitor shipment closely
SHP000415,Medium,Monitor shipment closely
SHP000416,Medium,Monitor shipment closely
SHP000417,Medium,Monitor shipment closely
SHP000418,Medium,Monitor shipment closely
SHP000419,Medium,Monitor shipment closely
SHP000420,Medium,Monitor shipment closely
SHP000421,Medium,Monitor shipment closely
SHP000422,Medium,Monitor shipment closely
SHP000424,Medium,Monitor shipment closely
SHP000425,Medium,Monitor shipment closely
SHP000426,Medium,Monitor shipment closely
SHP000427,Medium,Monitor shipment closely
SHP000428,Medium,Monitor shipment closely
SHP000429,Medium,Monitor shipment closely
SHP000430,Medium,Monitor shipment closely
SHP000431,Medium,Monitor shipment closely
SHP000432,Medium,Monitor shipment closely
SHP000433,Medium,Monitor shipment closely
SHP000434,Medium,Monitor shipment closely
SHP000435,Medium,Monitor shipment closely
SHP000436,Medium,Monitor shipment closely
SHP000437,Medium,Monitor shipment closely
SHP000438,Medium,Monitor shipment closely
SHP000439,Medium,Monitor shipment closely
SHP000440,Medium,Monitor shipment closely
SHP000441,Medium,Monitor shipment closely
SHP000442,Medium,Monitor shipment closely
SHP000443,Medium,Monitor shipment closely
SHP000444,Medium,Monitor shipment closely
SHP000445,Medium,Monitor shipment closely
SHP000446,Medium,Monitor shipment closely
SHP000447,Medium,Monitor shipment closely
SHP000448,Medium,Monitor shipment closely
SHP000449,Medium,Monitor shipment closely
SHP000450,Medium,Monitor shipment closely
SHP000451,Medium,Monitor shipment closely
SHP000452,Medium,Monitor shipment closely
SHP000453,Medium,Monitor shipment closely
SHP000454,Medium,Monitor shipment closely
SHP000455,Medium,Monitor shipment closely
SHP000456,Medium,Monitor shipment closely
SHP000457,Medium,Monitor shipment closely
SHP000459,Medium,Monitor shipment closely
SHP000460,Medium,Monitor shipment closely
SHP000461,Medium,Monitor shipment closely
SHP000462,Medium,Monitor shipment closely
SHP000463,Medium,Monitor shipment closely
SHP000464,Medium,Monitor shipment closely
SHP000465,Medium,Monitor shipment closely
SHP000466,Medium,Monitor shipment closely
SHP000467,Medium,Monitor shipment closely
SHP000468,Medium,Monitor shipment closely
SHP000469,Medium,Monitor shipment closely
SHP000470,Medium,Monitor shipment closely
SHP000472,Medium,Monitor shipment closely
SHP000473,Medium,Monitor shipment closely
SHP000474,Medium,Monitor shipment closely
SHP000475,Medium,Monitor shipment closely
SHP000476,Medium,Monitor shipment closely
SHP000477,Medium,Monitor shipment closely
SHP000478,Medium,Monitor shipment closely
SHP000479,Medium,Monitor shipment closely
SHP000480,Medium,Monitor shipment closely
SHP000481,Medium,Monitor shipment closely
SHP000482,Medium,Monitor shipment closely
SHP000483,Medium,Monitor shipment closely
SHP000484,Medium,Monitor shipment closely
SHP000485,Medium,Monitor shipment closely
SHP000486,Medium,Monitor shipment closely
SHP000487,Medium,Monitor shipment closely
SHP000488,Medium,Monitor shipment closely
SHP000489,Medium,Monitor shipment closely
SHP000490,Medium,Monitor shipment closely
SHP000491,Medium,Monitor shipment closely
SHP000493,Medium,Monitor shipment closely
SHP000494,Medium,Monitor shipment closely
SHP000495,Medium,Monitor shipment closely
SHP000496,Medium,Monitor shipment closely
SHP000497,Medium,Monitor shipment closely
SHP000498,Medium,Monitor shipment closely
SHP000499,Medium,Monitor shipment closely
SHP000500,Medium,Monitor shipment closely
SHP000501,Medium,Monitor shipment closely
SHP000502,Medium,Monitor shipment closely
SHP000503,Medium,Monitor shipment closely
SHP000504,Medium,Monitor shipment closely
SHP000505,Medium,Monitor shipment closely
SHP000506,Medium,Monitor shipment closely
SHP000507,Medium,Monitor shipment closely
SHP000508,Medium,Monitor shipment closely
SHP000509,Medium,Monitor shipment closely
SHP000510,Medium,Monitor shipment closely
SHP000511,Medium,Monitor shipment closely
SHP000512,Medium,Monitor shipment closely
SHP000513,Medium,Monitor shipment closely
SHP000514,Medium,Monitor shipment closely
SHP000515,Medium,Monitor shipment closely
SHP000516,Medium,Monitor shipment closely
SHP000517,Medium,Monitor shipment closely
SHP000518,Medium,Monitor shipment closely
SHP000519,Medium,Monitor shipment closely
SHP000520,Medium,Monitor shipment closely
SHP000521,Medium,Monitor shipment closely
SHP000522,Medium,Monitor shipment closely
SHP000523,Medium,Monitor shipment closely
SHP000524,Medium,Monitor shipment closely
SHP000525,Medium,Monitor shipment closely
SHP000526,Medium,Monitor shipment closely
SHP000527,Medium,Monitor shipment closely
SHP000528,Medium,Monitor shipment closely
SHP000529,Medium,Monitor shipment closely
SHP000530,Medium,Monitor shipment closely
SHP000531,Medium,Monitor shipment closely
SHP000532,Medium,Monitor shipment closely
SHP000533,Medium,Monitor shipment closely
SHP000534,Medium,Monitor shipment closely
SHP000535,Medium,Monitor shipment closely
SHP000536,Medium,Monitor shipment closely
SHP000537,Medium,Monitor shipment closely
SHP000538,Medium,Monitor shipment closely
SHP000539,Medium,Monitor shipment closely
SHP000540,Medium,Monitor shipment closely
SHP000541,Medium,Monitor shipment closely
SHP000542,Medium,Monitor shipment closely
SHP000543,Medium,Monitor shipment closely
SHP000544,Medium,Monitor shipment closely
SHP000545,Medium,Monitor shipment closely
SHP000546,Medium,Monitor shipment closely
SHP000547,Medium,Monitor shipment closely
SHP000548,Medium,Monitor shipment closely
SHP000549,Medium,Monitor shipment closely
SHP000550,Medium,Monitor shipment closely
SHP000551,Medium,Monitor shipment closely
SHP000552,Medium,Monitor shipment closely
SHP000553,Medium,Monitor shipment closely
SHP000554,Medium,Monitor shipment closely
SHP000555,Medium,Monitor shipment closely
SHP000556,Medium,Monitor shipment closely
SHP000557,Medium,Monitor shipment closely
SHP000558,Medium,Monitor shipment closely
SHP000559,Medium,Monitor shipment closely
SHP000560,Medium,Monitor shipment closely
SHP000561,Medium,Monitor shipment closely
SHP000562,Medium,Monitor shipment closely
SHP000563,Medium,Monitor shipment closely
SHP000564,Medium,Monitor shipment closely
SHP000565,Medium,Monitor shipment closely
SHP000566,Medium,Monitor shipment closely
SHP000567,Medium,Monitor shipment closely
SHP000568,Medium,Monitor shipment closely
SHP000569,Medium,Monitor shipment closely
SHP000570,Medium,Monitor shipment closely
SHP000571,Medium,Monitor shipment closely
SHP000572,Medium,Monitor shipment closely
SHP000573,Medium,Monitor shipment closely
SHP000574,Medium,Monitor shipment closely
SHP000575,Medium,Monitor shipment closely
SHP000576,Medium,Monitor shipment closely
SHP000577,Medium,Monitor shipment closely
SHP000578,Medium,Monitor shipment closely
SHP000579,Medium,Monitor shipment closely
SHP000580,Medium,Monitor shipment closely
SHP000581,Medium,Monitor shipment closely
SHP000582,Medium,Monitor shipment closely
SHP000583,Medium,Monitor shipment closely
SHP000584,Medium,Monitor shipment closely
SHP000585,Medium,Monitor shipment closely
SHP000586,Medium,Monitor shipment closely
SHP000587,Medium,Monitor shipment closely
SHP000588,Medium,Monitor shipment closely
SHP000589,Medium,Monitor shipment closely
SHP000590,Medium,Monitor shipment closely
SHP000591,Medium,Monitor shipment closely
SHP000592,Medium,Monitor shipment closely
SHP000593,Medium,Monitor shipment closely
SHP000594,Medium,Monitor shipment closely
SHP000595,Medium,Monitor shipment closely
SHP000596,Medium,Monitor shipment closely
SHP000597,Medium,Monitor shipment closely
SHP000598,Medium,Monitor shipment closely
SHP000599,Medium,Monitor shipment closely
SHP000600,Medium,Monitor shipment closely
SHP000601,Medium,Monitor shipment closely
SHP000602,Medium,Monitor shipment closely
SHP000603,Medium,Monitor shipment closely
SHP000604,Medium,Monitor shipment closely
SHP000605,Medium,Monitor shipment closely
SHP000606,Medium,Monitor shipment closely
SHP000607,Medium,Monitor shipment closely
SHP000608,Medium,Monitor shipment closely
SHP000609,Medium,Monitor shipment closely
SHP000611,Medium,Monitor shipment closely
SHP000612,Medium,Monitor shipment closely
SHP000613,Medium,Monitor shipment closely
SHP000614,Medium,Monitor shipment closely
SHP000615,Medium,Monitor shipment closely
SHP000616,Medium,Monitor shipment closely
SHP000617,Medium,Monitor shipment closely
SHP000618,Medium,Monitor shipment closely
SHP000619,Medium,Monitor shipment closely
SHP000620,Medium,Monitor shipment closely
SHP000621,Medium,Monitor shipment closely
SHP000622,Medium,Monitor shipment closely
SHP000623,Medium,Monitor shipment closely
SHP000624,Medium,Monitor shipment closely
SHP000625,Medium,Monitor shipment closely
SHP000626,Medium,Monitor shipment closely
SHP000627,Medium,Monitor shipment closely
SHP000628,Medium,Monitor shipment closely
SHP000629,Medium,Monitor shipment closely
SHP000630,Medium,Monitor shipment closely
SHP000631,Medium,Monitor shipment closely
SHP000632,Medium,Monitor shipment closely
SHP000633,Medium,Monitor shipment closely
SHP000634,Medium,Monitor shipment closely
SHP000635,Medium,Monitor shipment closely
SHP000636,Medium,Monitor shipment closely
SHP000637,Medium,Monitor shipment closely
SHP000638,Medium,Monitor shipment closely
SHP000639,Medium,Monitor shipment closely
SHP000640,Medium,Monitor shipment closely
SHP000641,Medium,Monitor shipment closely
SHP000642,Medium,Monitor shipment closely
SHP000643,Medium,Monitor shipment closely
SHP000644,Medium,Monitor shipment closely
SHP000646,Medium,Monitor shipment closely
SHP000647,Medium,Monitor shipment closely
SHP000648,Medium,Monitor shipment closely
SHP000650,Medium,Monitor shipment closely
SHP000651,Medium,Monitor shipment closely
SHP000652,Medium,Monitor shipment closely
SHP000653,Medium,Monitor shipment closely
SHP000654,Medium,Monitor shipment closely
SHP000655,Medium,Monitor shipment closely
SHP000656,Medium,Monitor shipment closely
SHP000657,Medium,Monitor shipment closely
SHP000658,Medium,Monitor shipment closely
SHP000659,Medium,Monitor shipment closely
SHP000660,Medium,Monitor shipment closely
SHP000661,Medium,Monitor shipment closely
SHP000662,Medium,Monitor shipment closely
SHP000663,Medium,Monitor shipment closely
SHP000664,Medium,Monitor shipment closely
SHP000665,Medium,Monitor shipment closely
SHP000666,Medium,Monitor shipment closely
SHP000667,Medium,Monitor shipment closely
SHP000668,Medium,Monitor shipment closely
SHP000669,Medium,Monitor shipment closely
SHP000670,Medium,Monitor shipment closely
SHP000671,Medium,Monitor shipment closely
SHP000672,Medium,Monitor shipment closely
SHP000673,Medium,Monitor shipment closely
SHP000674,Medium,Monitor shipment closely
SHP000675,Medium,Monitor shipment closely
SHP000676,Medium,Monitor shipment closely
SHP000677,Medium,Monitor shipment closely
SHP000678,Medium,Monitor shipment closely
SHP000679,Medium,Monitor shipment closely
SHP000680,Medium,Monitor shipment closely
SHP000681,Medium,Monitor shipment closely
SHP000682,Medium,Monitor shipment closely
SHP000683,Medium,Monitor shipment closely
SHP000684,Medium,Monitor shipment closely
SHP000685,Medium,Monitor shipment closely
SHP000686,Medium,Monitor shipment closely
SHP000687,Medium,Monitor shipment closely
SHP000688,Medium,Monitor shipment closely
SHP000689,Medium,Monitor shipment closely
SHP000690,Medium,Monitor shipment closely
SHP000691,Medium,Monitor shipment closely
SHP000692,Medium,Monitor shipment closely
SHP000693,Medium,Monitor shipment closely
SHP000694,Medium,Monitor shipment closely
SHP000695,Medium,Monitor shipment closely
SHP000696,Medium,Monitor shipment closely
SHP000697,Medium,Monitor shipment closely
SHP000698,Medium,Monitor shipment closely
SHP000699,Medium,Monitor shipment closely
SHP000700,Medium,Monitor shipment closely
SHP000701,Medium,Monitor shipment closely
SHP000702,Medium,Monitor shipment closely
SHP000704,Medium,Monitor shipment closely
SHP000705,Medium,Monitor shipment closely
SHP000706,Medium,Monitor shipment closely
SHP000707,Medium,Monitor shipment closely
SHP000708,Medium,Monitor shipment closely
SHP000709,Medium,Monitor shipment closely
SHP000710,Medium,Monitor shipment closely
SHP000711,Medium,Monitor shipment closely
SHP000712,Medium,Monitor shipment closely
SHP000713,Medium,Monitor shipment closely
SHP000714,Medium,Monitor shipment closely
SHP000715,Medium,Monitor shipment closely
SHP000716,Medium,Monitor shipment closely
SHP000717,Medium,Monitor shipment closely
SHP000718,Medium,Monitor shipment closely
SHP000719,Medium,Monitor shipment closely
SHP000720,Medium,Monitor shipment closely
SHP000721,Medium,Monitor shipment closely
SHP000722,Medium,Monitor shipment closely
SHP000723,Medium,Monitor shipment closely
